sample_id,source_url,split,variant,injected_codes,defect_codes,label,annotator,date,guideline_version,notes,provenance
G-001,/vn_vi/kinh-nghiem-chay-o-to-dien-vinfast-duong-dai,gold-real,original,,B3;B8,needs_revision,AI-A1,2026-08-17,v1.4,"meta_description 220 ký tự; lỗi khoảng trắng 'thoáng,mức'; C4=29; mã bài thật không cam kết liệt kê hết",AI-annotated-partially-exposed
G-002,/vn_vi/cach-cham-soc-xe-dien-vf-e34,gold-real,original,,B8,needs_revision,AI-A1,2026-08-17,v1.4,"có lỗi ngôn ngữ/dấu câu như hai dấu chấm và 'khuyến cáokhách hàng'; claim 318,6km có NEDC; C4=20",AI-annotated-partially-exposed
G-003,/vn_vi/cach-khoi-dong-xe-may-dien-vinfast,gold-real,original,,B8,needs_revision,AI-A1,2026-08-17,v1.4,"nhiều lỗi ngôn ngữ: 'hành trinh', 'khóa có xe', 'chốt và.', 'tay ga điền'; C4=23",AI-annotated-partially-exposed
G-004,/vn_vi/dinh-nghia-den-projector-la-gi,gold-real,original,,B3;B8,needs_revision,AI-A1,2026-08-17,v1.4,"meta_description 186 ký tự; 'đđèn Projector'; C4=8",AI-annotated-partially-exposed
G-005,/vn_vi/nhung-kien-thuc-co-ban-ve-sac-xe-o-to-dien-can-biet,gold-real,original,,B1;B2;B8;B10,needs_revision,AI-A1,2026-08-17,v1.4,"285km thiếu chuẩn đo; 18 phút thiếu dải phần trăm; 'giao động/trại trạm/sạc thưởng'; số suy giảm pin không nêu nguồn; C4=6",AI-annotated-partially-exposed
G-006,/vn_vi/thoi-gian-sac-day-xe-may-dien-vinfast-bao-lau,gold-real,original,,B1;B2;B10,needs_revision,AI-A1,2026-08-17,v1.4,"bảng tầm hoạt động thiếu chuẩn đo/lưu ý thực tế; thời gian sạc thiếu loại bộ sạc; nhiều số liệu không nêu nguồn; C4=10",AI-annotated-partially-exposed
G-007,/vn_vi/cac-loai-pin-xe-may-dien-vinfast-dac-diem-gia-cach-su-dung,gold-real,original,,B1;B2;B8;B10;B11,needs_revision,AI-A1,2026-08-17,v1.4,"bảng tầm hoạt động/sạc thiếu điều kiện; 'khống quá 1mm'; bảng giá thuê pin không nêu thời hạn hiệu lực (CP7=1); C4=13",AI-annotated-partially-exposed
G-008,/vn_vi/khi-nao-nen-sac-pin-xe-dien,gold-real,original,,B8;B10,needs_revision,AI-A1,2026-08-17,v1.4,"'viêc/thông suất'; số liệu sạc không nêu nguồn; chính sách thuê pin chi tiết đủ yếu tố (CP7=2); C4=28",AI-annotated-partially-exposed
G-009,/vn_vi/tim-hieu-cac-loai-pin-o-to-dien,gold-real,original,,B1;B2;B4;B8;B10;B11,needs_revision,AI-A1,2026-08-17,v1.4,"title 31 ký tự; VF 5 Plus thiếu chuẩn đo và VF e34 18 phút thiếu dải %; lặp 'nên nên'; claim thay pin dưới 70% thiếu thời hạn hiệu lực (CP7=1); C4=17",AI-annotated-partially-exposed
G-010,/vn_vi/cach-sac-pin-xe-may-dien-vinfast,gold-real,original,,A1;B8,rejected,AI-A1,2026-08-17,v1.4,"link trong body claim hệ thống trạm sạc 'hiện đại nhất Việt Nam'; lặp 'thêm thêm'; chính sách thuê pin đủ đối tượng/thời hạn (CP7=2); C4=19",AI-annotated-partially-exposed
